Source IP,Destination IP,Protocol,Summary
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 PA / Raw
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13752 > 120.233.171.83:11001 PA / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 A / Padding
223.6.6.6,10.134.178.204,6,Ether / IP / TCP 223.6.6.6:853 > 10.134.178.204:13753 SA
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 PA / Raw
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13752 > 120.233.171.83:11001 PA / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 A / Padding
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 PA / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 A / Raw
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13752 > 120.233.171.83:11001 A
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13752 > 120.233.171.83:11001 A
10.134.178.204,39.106.251.95,6,Ether / IP / TCP 10.134.178.204:13198 > 39.106.251.95:https A / Raw
10.134.178.204,39.106.251.95,6,Ether / IP / TCP 10.134.178.204:13198 > 39.106.251.95:https PA / Raw
39.106.251.95,10.134.178.204,6,Ether / IP / TCP 39.106.251.95:https > 10.134.178.204:13198 A / Padding
39.106.251.95,10.134.178.204,6,Ether / IP / TCP 39.106.251.95:https > 10.134.178.204:13198 A / Padding
39.106.251.95,10.134.178.204,6,Ether / IP / TCP 39.106.251.95:https > 10.134.178.204:13198 PA / Raw
10.134.178.204,39.106.251.95,6,Ether / IP / TCP 10.134.178.204:13198 > 39.106.251.95:https A
223.6.6.6,10.134.178.204,6,Ether / IP / TCP 223.6.6.6:853 > 10.134.178.204:13753 SA
10.134.178.204,239.255.255.250,17,Ether / IP / UDP 10.134.178.204:65526 > 239.255.255.250:ssdp / Raw
10.134.178.204,183.36.29.108,17,Ether / IP / UDP 10.134.178.204:43094 > 183.36.29.108:32002 / Raw
10.134.178.204,183.146.28.142,17,Ether / IP / UDP 10.134.178.204:43094 > 183.146.28.142:32002 / Raw
10.134.178.204,125.37.204.55,17,Ether / IP / UDP 10.134.178.204:43094 > 125.37.204.55:32002 / Raw
10.134.178.204,61.139.65.56,17,Ether / IP / UDP 10.134.178.204:33001 > 61.139.65.56:32002 / Raw
125.37.204.55,10.134.178.204,17,Ether / IP / UDP 125.37.204.55:32002 > 10.134.178.204:43094 / Raw
183.146.28.142,10.134.178.204,17,Ether / IP / UDP 183.146.28.142:32002 > 10.134.178.204:43094 / Raw
61.139.65.56,10.134.178.204,17,Ether / IP / UDP 61.139.65.56:32002 > 10.134.178.204:33001 / Raw
183.36.29.108,10.134.178.204,17,Ether / IP / UDP 183.36.29.108:32002 > 10.134.178.204:43094 / Raw
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13709 > 120.233.171.83:11001 PA / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13709 A / Padding
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13709 PA / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13709 FA / Padding
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13709 > 120.233.171.83:11001 A
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13709 > 120.233.171.83:11001 FA
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13709 A / Padding
10.134.178.204,120.233.70.120,6,Ether / IP / TCP 10.134.178.204:13471 > 120.233.70.120:11001 A / Raw
120.233.70.120,10.134.178.204,6,Ether / IP / TCP 120.233.70.120:11001 > 10.134.178.204:13471 A
10.134.178.204,239.255.255.250,17,Ether / IP / UDP 10.134.178.204:65526 > 239.255.255.250:ssdp / Raw
223.6.6.6,10.134.178.204,6,Ether / IP / TCP 223.6.6.6:853 > 10.134.178.204:13753 SA
